Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Bathroom,Point of Contact,Total Floors,Bachelors Preferred,Family Preferred
2022-06-10,2,21000,900,1,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,2,Contact Owner,2,True,False
2022-06-24,1,10000,270,1,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-29,2,7200,630,Ground,Carpet Area,Birati,Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-05-12,3,12000,1500,Ground,Carpet Area,Bhadrakali,Kolkata,Furnished,2,Contact Owner,2,True,False
2022-06-26,1,5000,600,2,Super Area,Behala,Kolkata,Unfurnished,1,Contact Owner,5,True,True
2022-04-30,2,8500,700,4,Carpet Area,Baruipur,Kolkata,Semi-Furnished,1,Contact Owner,14,True,True
2022-05-27,1,6000,300,Ground,Super Area,Ballygunge,Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-06-06,2,10000,1300,Ground,Super Area,Kalikapur,Kolkata,Semi-Furnished,2,Contact Owner,1,False,True
2022-05-20,2,4600,400,3,Carpet Area,Behala,Kolkata,Semi-Furnished,1,Contact Owner,3,True,False
2022-07-02,2,12000,650,Ground,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,2,Contact Owner,1,False,True
2022-05-26,3,30000,2000,Ground,Super Area,Behala,Kolkata,Semi-Furnished,2,Contact Owner,2,True,True
2022-05-12,3,15000,1068,Ground,Super Area,Bansdroni,Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-06-22,1,7500,150,1,Super Area,Salt Lake City,Kolkata,Furnished,1,Contact Owner,1,True,True
2022-06-25,1,7500,450,2,Carpet Area,New Town,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-07-03,2,5000,800,Ground,Carpet Area,Baruipur,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-04-23,2,15000,1000,Ground,Super Area,Bansdroni,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-14,2,11000,900,5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,1,Contact Owner,5,True,False
2022-05-27,1,7000,600,Ground,Carpet Area,Behala,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-19,2,6000,1200,1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-06-19,2,6000,1200,2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,2,Contact Owner,2,True,False
2022-07-02,2,7000,650,Ground,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-07-06,2,8500,720,4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,2,Contact Owner,4,True,True
2022-07-02,1,5000,300,1,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner,3,True,False
2022-06-21,3,30000,1200,Ground,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,3,Contact Agent,2,True,True
2022-06-04,2,10000,700,7,Carpet Area,Sarsuna,Kolkata,Unfurnished,2,Contact Owner,8,True,True
2022-06-24,3,30000,2000,1,Super Area,Naihati,Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-05-14,1,3500,250,Ground,Super Area,Baksara,Kolkata,Semi-Furnished,1,Contact Owner,4,True,True
2022-06-26,2,8000,1100,Ground,Carpet Area,Naihati,Kolkata,Unfurnished,1,Contact Owner,3,True,False
2022-07-02,1,5000,300,Ground,Carpet Area,Kasba,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-05,2,7500,600,Ground,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-05-18,2,6500,800,Ground,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-07,1,7500,680,1,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-07,1,7500,680,Ground,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-26,2,16000,850,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Agent,4,True,False
2022-06-26,2,16000,850,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Agent,2,True,False
2022-05-30,2,6500,700,Ground,Super Area,Bandel,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-05-22,3,40000,1500,Ground,Super Area,Beliaghata,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-18,2,12500,950,1,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,2,Contact Owner,4,True,True
2022-06-08,2,5500,500,Ground,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-25,1,5000,450,2,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,1,Contact Owner,4,True,True
2022-05-03,2,6500,700,Ground,Super Area,Sonarpur,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-05-12,1,8000,500,1,Super Area,Lake Town,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-01,3,14500,1800,Ground,Super Area,Belghoria,Kolkata,Semi-Furnished,2,Contact Owner,2,True,True
2022-05-23,1,8200,500,1,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-05-23,2,15000,480,Ground,Carpet Area,shukhobrishti,Kolkata,Furnished,2,Contact Owner,3,True,True
2022-06-21,6,20000,1000,1,Super Area,Sonarpur,Kolkata,Semi-Furnished,2,Contact Owner,1,True,True
2022-06-22,2,6700,800,1,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-27,1,10000,435,2,Super Area,Kasba,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-05-07,2,7000,700,Ground,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,2,Contact Agent,2,True,True
2022-06-25,2,22000,800,4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,1,Contact Agent,4,True,True
2022-06-27,2,6500,450,1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-05-31,2,8500,550,2,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,1,Contact Agent,3,True,True
2022-06-03,2,18000,800,Ground,Carpet Area,Salt Lake City,Kolkata,Unfurnished,2,Contact Agent,4,True,False
2022-06-27,2,12000,550,Ground,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,2,Contact Owner,2,False,True
2022-05-15,1,9000,600,2,Super Area,Behala,Kolkata,Furnished,1,Contact Owner,4,True,True
2022-06-09,1,6000,500,Ground,Super Area,"New Garia, Garia",Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-04-28,2,20000,1000,1,Super Area,Anandapur,Kolkata,Furnished,2,Contact Owner,2,True,True
2022-05-23,1,5000,300,1,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-28,2,12000,1200,1,Super Area,Boral,Kolkata,Furnished,2,Contact Owner,3,True,True
2022-06-23,2,10000,500,3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,1,Contact Owner,4,True,True
2022-04-29,4,18000,1200,1,Super Area,Bagbazar,Kolkata,Unfurnished,2,Contact Owner,2,False,True
2022-06-13,2,15000,900,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,2,Contact Agent,2,True,True
2022-06-13,3,22000,1300,Ground,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,3,Contact Agent,2,True,True
2022-06-13,4,35000,1600,1,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,3,Contact Agent,5,True,True
2022-05-14,3,21000,1450,Ground,Super Area,Ajoy Nagar,Kolkata,Unfurnished,2,Contact Owner,1,False,True
2022-07-06,2,25000,1100,2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,2,Contact Agent,2,True,False
2022-06-16,2,180000,950,Ground,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-06-06,1,6000,600,8,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,1,Contact Owner,5,True,True
2022-07-04,2,14000,700,Ground,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-15,3,8000,750,Ground,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,1,Contact Owner,2,False,True
2022-05-04,2,8000,1000,Ground,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-04-25,1,6000,220,Ground,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-21,1,8000,300,1,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,1,Contact Agent,3,True,False
2022-06-27,1,6000,300,Ground,Carpet Area,Tiljala Road,Kolkata,Unfurnished,1,Contact Agent,1,True,True
2022-07-02,1,20000,700,1,Super Area,Sankaritola,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-07-06,3,12000,800,Ground,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-04-28,3,15000,1600,1,Super Area,Garia,Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-05-15,2,14000,1000,1,Carpet Area,Kasba,Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-05-30,1,5000,20,2,Super Area,Dakshineswar,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-10,2,7000,400,Ground,Carpet Area,chatana,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-23,1,3900,200,2,Super Area,Shyam Bazar,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-06-09,3,14000,840,1,Carpet Area,Mukundapur,Kolkata,Unfurnished,2,Contact Owner,4,True,False
2022-06-19,1,6300,300,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,1,Contact Agent,1,True,True
2022-07-03,2,13000,550,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,2,Contact Agent,2,True,True
2022-07-03,1,6800,300,1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,1,Contact Agent,2,True,True
2022-05-14,2,8000,800,1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-05-10,2,10000,740,Ground,Carpet Area,Sonarpur,Kolkata,Unfurnished,1,Contact Owner,6,True,False
2022-04-25,2,18000,1300,1,Super Area,Santoshpur,Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-06-13,2,8000,650,Ground,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-05-06,2,8000,490,1,Super Area,Entally,Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-06-08,1,4700,250,2,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-06-08,1,4700,250,Ground,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,1,Contact Owner,1,True,True
2022-05-06,1,4500,450,1,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-30,1,6000,300,Ground,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-06-24,2,16000,750,1,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-07-01,1,4700,250,1,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-06-17,2,14000,751,3,Carpet Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner,3,True,False
2022-06-26,2,9000,900,Ground,Carpet Area,Lake Town,Kolkata,Semi-Furnished,1,Contact Owner,2,True,False
2022-06-23,2,5000,400,1,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-06-13,2,17500,1000,Ground,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,2,Contact Agent,2,True,True
2022-06-11,2,8500,1000,Ground,Carpet Area,South Baksara,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-05-26,3,15000,1500,1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,2,Contact Owner,1,False,True
2022-04-25,2,12500,750,1,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-05-11,1,13000,1200,2,Super Area,Kasba,Kolkata,Semi-Furnished,1,Contact Owner,4,True,True
2022-05-06,2,8000,700,Ground,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-05-10,2,8000,700,4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,1,Contact Owner,4,True,True
2022-05-21,2,8000,1000,Ground,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-12,2,7000,1200,1,Super Area,Konnagar,Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-06-05,2,2200,550,2,Super Area,Behala silpara,Kolkata,Furnished,1,Contact Owner,3,True,True
2022-06-25,2,8000,800,Ground,Carpet Area,Vip Road,Kolkata,Unfurnished,1,Contact Owner,4,True,False
2022-06-11,2,5500,280,1,Super Area,New Barrakpur,Kolkata,Unfurnished,1,Contact Owner,3,True,False
2022-07-04,3,20000,1100,Ground,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,3,Contact Owner,2,True,True
2022-05-10,2,7000,950,Ground,Super Area,Kaikhali,Kolkata,Unfurnished,1,Contact Agent,2,True,True
2022-05-13,1,3500,250,1,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-10,2,5000,1000,Ground,Carpet Area,Hindmotor,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-06-30,3,20000,1000,Ground,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,2,Contact Owner,2,True,True
2022-05-27,2,7000,650,Ground,Super Area,Howrah,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-06-08,2,10000,700,1,Super Area,Benia Pukur,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-15,2,7000,700,Ground,Carpet Area,Baguiati,Kolkata,Unfurnished,1,Contact Owner,3,True,False
2022-06-29,3,12000,1000,Ground,Super Area,E M Bypass,Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-05-13,2,14500,900,1,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,2,Contact Owner,4,True,False
2022-05-25,1,6000,700,1,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-07-04,2,9500,700,1,Super Area,Jadavpur,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-27,2,10000,450,2,Carpet Area,Behala,Kolkata,Semi-Furnished,2,Contact Owner,1,True,True
2022-05-06,1,3500,120,Ground,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-01,2,9000,800,1,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,2,Contact Owner,2,True,True
2022-06-07,3,40000,1220,2,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-06-23,3,16500,1100,Ground,Super Area,Mominpur,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-12,3,8000,700,Ground,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,2,Contact Owner,3,False,True
2022-05-10,2,12000,800,Ground,Super Area,Santoshpur,Kolkata,Furnished,1,Contact Owner,3,True,True
2022-06-27,2,6500,670,2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,1,Contact Owner,2,False,True
2022-04-30,4,40000,1300,1,Super Area,Ballygunge,Kolkata,Unfurnished,3,Contact Owner,2,True,True
2022-05-06,1,5000,190,Ground,Super Area,Baguihati,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-05-24,2,9000,700,Ground,Super Area,Kabardanga,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-17,1,7000,240,Ground,Carpet Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner,4,True,False
2022-05-19,2,18000,850,2,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,1,Contact Owner,4,False,True
2022-05-26,1,9000,950,1,Super Area,Haltu,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-11,1,5500,450,1,Carpet Area,Botanical Garden Area,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-06-08,2,7500,800,Ground,Carpet Area,Bonhooghly,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-07-02,2,4000,600,1,Carpet Area,Nilgung Old Bazar,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-30,3,10500,800,2,Carpet Area,"Teghoria, Baguiati",Kolkata,Unfurnished,2,Contact Owner,2,True,False
2022-07-03,3,15000,1100,Ground,Carpet Area,Survey Park,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-16,2,15000,800,Ground,Carpet Area,Baguiati,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-13,1,50000,2200,2,Super Area,Kanchrapara,Kolkata,Furnished,3,Contact Owner,5,True,True
2022-06-08,2,12000,950,1,Carpet Area,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,2,Contact Owner,1,True,False
2022-04-25,2,11000,550,2,Carpet Area,Ultadanga,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-04,2,12000,1800,1,Carpet Area,Birati,Kolkata,Unfurnished,2,Contact Owner,1,True,False
2022-05-11,2,8000,1000,Ground,Super Area,"Chinar Park, Rajarhat",Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-27,2,18000,600,Ground,Super Area,Bagha Jatin Pally,Kolkata,Semi-Furnished,2,Contact Owner,3,True,True
2022-04-24,2,8000,750,2,Carpet Area,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,2,Contact Owner,4,True,True
2022-05-10,2,7000,685,2,Super Area,Dum Dum Metro,Kolkata,Unfurnished,1,Contact Agent,3,True,True
2022-05-24,1,6500,44,Ground,Carpet Area,Baranagar,Kolkata,Furnished,1,Contact Owner,1,True,True
2022-06-10,4,13000,1200,Ground,Carpet Area,Tollygunge,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-05,2,9000,500,Ground,Carpet Area,Airport Near Gate No. 21/2,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-04-29,4,10000,1110,2,Carpet Area,Purbasa,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-05-05,2,12000,1000,1,Super Area,Jadavpur,Kolkata,Unfurnished,2,Contact Owner,3,True,True
2022-06-26,2,5000,392,Ground,Super Area,Jadavpur,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-09,2,6000,700,1,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,1,Contact Owner,2,True,True
2022-05-19,1,5200,750,2,Super Area,Keshtopur,Kolkata,Unfurnished,1,Contact Owner,4,True,True
2022-06-07,3,15000,1500,1,Super Area,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,2,Contact Owner,2,False,True
2022-04-29,2,9000,900,Ground,Super Area,Keshtopur,Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-07-03,1,24000,710,1,Super Area,Salt Lake City Sector 1,Kolkata,Furnished,1,Contact Agent,1,True,False
2022-05-26,1,5500,400,Ground,Carpet Area,jadavpur central park east,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-24,1,10000,700,1,Carpet Area,Garia,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-07-03,2,15000,1000,Ground,Carpet Area,Tn Chatterjee Street,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-12,1,4700,250,1,Super Area,Kaikhali,Kolkata,Furnished,1,Contact Owner,2,True,True
2022-05-14,1,5000,500,Ground,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-05-20,2,5000,450,2,Carpet Area,Birati,Kolkata,Semi-Furnished,1,Contact Owner,2,True,True
2022-06-27,3,15000,1400,1,Super Area,Survey Park,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-05-14,1,5000,500,1,Carpet Area,Bata Nagar,Kolkata,Semi-Furnished,1,Contact Owner,1,True,True
2022-06-17,2,6000,700,Ground,Carpet Area,Hatiara Extention,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-06-04,3,18000,1200,1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,1,Contact Owner,3,True,True
2022-06-21,2,8000,450,1,Carpet Area,Andul,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-06-23,1,13000,500,2,Carpet Area,Salt Lake City Sector 2,Kolkata,Furnished,1,Contact Agent,2,True,False
2022-07-02,2,7500,400,Ground,Carpet Area,locality,Kolkata,Unfurnished,1,Contact Owner,1,True,True
2022-04-24,3,12000,1000,Ground,Super Area,Khardah,Kolkata,Unfurnished,2,Contact Owner,1,True,True
2022-06-04,2,11000,750,Ground,Carpet Area,Parnasree Pally,Kolkata,Unfurnished,1,Contact Owner,1,True,False
2022-06-24,1,6000,450,Ground,Super Area,Baghajatin,Kolkata,Unfurnished,1,Contact Owner,2,False,True
2022-06-19,3,20000,1000,1,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Agent,2,True,False
2022-07-03,2,7000,500,1,Carpet Area,sarsuna banerjee para,Kolkata,Unfurnished,2,Contact Owner,1,True,False
2022-06-19,4,30000,1600,Ground,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,2,Contact Agent,1,True,False
2022-07-02,2,7500,550,Ground,Carpet Area,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,1,Contact Owner,1,True,False
2022-06-21,1,6500,550,1,Super Area,Jyangra,Kolkata,Unfurnished,2,Contact Owner,2,True,True
2022-06-04,1,3000,200,2,Super Area,Barasat,Kolkata,Unfurnished,1,Contact Owner,3,True,True
2022-06-30,2,5200,650,1,Carpet Area,Sukchar,Kolkata,Unfurnished,1,Contact Owner,2,True,False
2022-06-22,2,25000,1000,1,Super Area,"Tagore Park, Kasba",Kolkata,Furnished,2,Contact Owner,1,True,True
2022-05-27,2,12500,680,Ground,Carpet Area,Barrackpore,Kolkata,Unfurnished,2,Contact Owner,2,True,True
